"module","order","target","source","source_relative"
"00-non-atlas-ui","001","开场 / 开始界面时钟图1","asset-work/assets/images/ui-common/时钟图1.png","asset-work/assets/images/ui-common/时钟图1.png"
"00-non-atlas-ui","002","游戏开始界面时钟图1","asset-work/assets/images/ui-common/时钟图1.png","asset-work/assets/images/ui-common/时钟图1.png"
"00-non-atlas-ui","003","游戏主要过程界面时钟图2","asset-work/assets/images/ui-common/时钟图2.png","asset-work/assets/images/ui-common/时钟图2.png"
"00-non-atlas-ui","004","成就弹窗框","asset-work/assets/images/ui-common/成就框UI.png","asset-work/assets/images/ui-common/成就框UI.png"
"01-runtime-ui-references","001","UIATLAS_003_001_pxui_system_001_草地","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_001_pxui_system_001_草地.png"
"01-runtime-ui-references","002","UIATLAS_001_003_pxui_base_003_箭头","render.mjs","UIATLAS_001_基础操作按钮/UIATLAS_001_003_pxui_base_003_箭头.png"
"01-runtime-ui-references","003","UIATLAS_001_009_pxui_base_009_左箭","render.mjs","UIATLAS_001_基础操作按钮/UIATLAS_001_009_pxui_base_009_左箭.png"
"01-runtime-ui-references","004","UIATLAS_001_018_pxui_base_018_叉","render.mjs","UIATLAS_001_基础操作按钮/UIATLAS_001_018_pxui_base_018_叉.png"
"01-runtime-ui-references","005","UIATLAS_003_010_pxui_system_010_存档","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_010_pxui_system_010_存档.png"
"01-runtime-ui-references","006","UIATLAS_003_011_pxui_system_011_齿轮","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_011_pxui_system_011_齿轮.png"
"01-runtime-ui-references","007","UIATLAS_003_024_pxui_system_024_太阳","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_024_pxui_system_024_太阳.png"
"01-runtime-ui-references","008","UIATLAS_003_023_pxui_system_023_月亮","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_023_pxui_system_023_月亮.png"
"01-runtime-ui-references","009","UIATLAS_003_028_pxui_system_028_展板","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_028_pxui_system_028_展板.png"
"01-runtime-ui-references","010","UIATLAS_003_027_pxui_system_027_日记本","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_027_pxui_system_027_日记本.png"
"01-runtime-ui-references","011","UIATLAS_003_008_pxui_system_008_书","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_008_pxui_system_008_书.png"
"01-runtime-ui-references","012","UIATLAS_003_013_pxui_system_013_图纸","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_013_pxui_system_013_图纸.png"
"01-runtime-ui-references","013","UIATLAS_003_009_pxui_system_009_领奖台","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_009_pxui_system_009_领奖台.png"
"01-runtime-ui-references","014","UIATLAS_003_007_pxui_system_007_奖杯","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_007_pxui_system_007_奖杯.png"
"01-runtime-ui-references","015","UIATLAS_003_032_pxui_system_032_毕业穗","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_032_pxui_system_032_毕业穗.png"
"01-runtime-ui-references","016","UIATLAS_003_031_pxui_system_031_毕业帽","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_031_pxui_system_031_毕业帽.png"
"01-runtime-ui-references","017","UIATLAS_003_030_pxui_system_030_本子钢","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_030_pxui_system_030_本子钢.png"
"01-runtime-ui-references","018","UIATLAS_003_042_pxui_system_043_齿轮","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_042_pxui_system_043_齿轮.png"
"01-runtime-ui-references","019","UIATLAS_003_039_pxui_system_040_事件记","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_039_pxui_system_040_事件记.png"
"01-runtime-ui-references","020","UIATLAS_003_040_pxui_system_041_思想者","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_040_pxui_system_041_思想者.png"
"01-runtime-ui-references","021","UIATLAS_003_041_pxui_system_042_建筑学","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_041_pxui_system_042_建筑学.png"
"01-runtime-ui-references","022","UIATLAS_003_022_pxui_system_022_箭头","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_022_pxui_system_022_箭头.png"
"01-runtime-ui-references","023","UIATLAS_003_021_pxui_system_021_咖啡","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_021_pxui_system_021_咖啡.png"
"01-runtime-ui-references","024","UIATLAS_003_020_pxui_system_020_建筑学","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_020_pxui_system_020_建筑学.png"
"01-runtime-ui-references","025","UIATLAS_003_025_pxui_system_025_地球","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_025_pxui_system_025_地球.png"
"01-runtime-ui-references","026","UIATLAS_003_036_pxui_system_037_纯蓝色","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_036_pxui_system_037_纯蓝色.png"
"01-runtime-ui-references","027","UIATLAS_003_037_pxui_system_038_纯蓝色","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_037_pxui_system_038_纯蓝色.png"
"01-runtime-ui-references","028","UIATLAS_003_038_pxui_system_039_纯蓝色","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_038_pxui_system_039_纯蓝色.png"
"01-runtime-ui-references","029","UIATLAS_003_006_pxui_system_006_超市手","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_006_pxui_system_006_超市手.png"
"01-runtime-ui-references","030","UIATLAS_003_033_pxui_system_033_红旗公","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_033_pxui_system_033_红旗公.png"
"01-runtime-ui-references","031","UIATLAS_003_034_pxui_system_034_护照飞","render.mjs","UIATLAS_003_系统入口图标/UIATLAS_003_034_pxui_system_034_护照飞.png"
