"module","order","target","stable_id","atlas","confirmed_relative","source_relative","rule","status"
"20-week-actions","001","学习AI和设计软件","pxui_action_001","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/001_学习AI和设计软件__UIATLAS_004_001_pxui_action_001_电脑.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_001_pxui_action_001_电脑.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","002","阅读_展览_讲座","pxui_action_002","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/002_阅读_展览_讲座__UIATLAS_004_002_pxui_action_002_书.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_002_pxui_action_002_书.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","003","方案推敲","pxui_action_003","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/003_方案推敲__UIATLAS_004_003_pxui_action_003_图纸.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_003_pxui_action_003_图纸.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","004","场地调研","pxui_action_004","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/004_场地调研__UIATLAS_004_004_pxui_action_004_地图.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_004_pxui_action_004_地图.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","005","正常速度画图","pxui_action_005","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/005_正常速度画图__UIATLAS_004_005_pxui_action_005_图板丁.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_005_pxui_action_005_图板丁.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","006","爆肝通宵赶图","pxui_action_006","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/006_爆肝通宵赶图__UIATLAS_004_006_pxui_action_006_夜灯.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_006_pxui_action_006_夜灯.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","007","健身运动","pxui_action_007","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/007_健身运动__UIATLAS_004_007_pxui_action_007_哑铃.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_007_pxui_action_007_哑铃.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","008","社交聚餐娱乐","pxui_action_008","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/008_社交聚餐娱乐__UIATLAS_004_008_pxui_action_008_饭碗饮.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_008_pxui_action_008_饭碗饮.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","009","休养生息","pxui_action_009","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/009_休养生息__UIATLAS_004_009_pxui_action_009_床.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_009_pxui_action_009_床.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
"20-week-actions","010","接设计外包","pxui_action_010","UIATLAS_004","asset-work/ui-icon-final/confirmed-icons/20-week-actions/010_接设计外包__UIATLAS_004_010_pxui_action_010_合同.png","asset-work/ui-icons-sliced/standard_128/UIATLAS_004_周行动、项目、评图、模型/UIATLAS_004_010_pxui_action_010_合同.png","本周行动入口：基础周行动、外包/兼职入口和专属技能入口。","confirmed"
